LoanStatus_mod,ProsperScore,IncomeRange_Mod,Total
Bad Loan,1,1) 0,4
Completed,1,1) 0,1
Current,1,1) 0,2
Bad Loan,1,"2) $1-24,999",29
Completed,1,"2) $1-24,999",22
Current,1,"2) $1-24,999",23
Bad Loan,1,"3) $25,000-49,999",101
Completed,1,"3) $25,000-49,999",107
Current,1,"3) $25,000-49,999",100
Bad Loan,1,"4) $50,000-74,999",73
Completed,1,"4) $50,000-74,999",91
Current,1,"4) $50,000-74,999",123
Bad Loan,1,"5) $75,000-99,999",36
Completed,1,"5) $75,000-99,999",52
Current,1,"5) $75,000-99,999",45
Bad Loan,1,"6) $100,000+",48
Completed,1,"6) $100,000+",70
Current,1,"6) $100,000+",65
Bad Loan,2,1) 0,9
Completed,2,1) 0,18
Current,2,1) 0,29
Bad Loan,2,"2) $1-24,999",53
Completed,2,"2) $1-24,999",70
Current,2,"2) $1-24,999",329
Bad Loan,2,"3) $25,000-49,999",246
Completed,2,"3) $25,000-49,999",289
Current,2,"3) $25,000-49,999",1574
Bad Loan,2,"4) $50,000-74,999",146
Completed,2,"4) $50,000-74,999",248
Current,2,"4) $50,000-74,999",1215
Bad Loan,2,"5) $75,000-99,999",68
Completed,2,"5) $75,000-99,999",113
Current,2,"5) $75,000-99,999",658
Bad Loan,2,"6) $100,000+",52
Completed,2,"6) $100,000+",133
Current,2,"6) $100,000+",516
Bad Loan,3,1) 0,23
Completed,3,1) 0,17
Current,3,1) 0,39
Bad Loan,3,"2) $1-24,999",77
Completed,3,"2) $1-24,999",87
Current,3,"2) $1-24,999",442
Bad Loan,3,"3) $25,000-49,999",225
Completed,3,"3) $25,000-49,999",349
Current,3,"3) $25,000-49,999",2122
Bad Loan,3,"4) $50,000-74,999",180
Completed,3,"4) $50,000-74,999",311
Current,3,"4) $50,000-74,999",1698
Bad Loan,3,"5) $75,000-99,999",60
Completed,3,"5) $75,000-99,999",175
Current,3,"5) $75,000-99,999",841
Bad Loan,3,"6) $100,000+",45
Completed,3,"6) $100,000+",158
Current,3,"6) $100,000+",793
Bad Loan,4,1) 0,37
Completed,4,1) 0,31
Current,4,1) 0,50
Bad Loan,4,"2) $1-24,999",156
Completed,4,"2) $1-24,999",178
Current,4,"2) $1-24,999",570
Bad Loan,4,"3) $25,000-49,999",424
Completed,4,"3) $25,000-49,999",586
Current,4,"3) $25,000-49,999",3278
Bad Loan,4,"4) $50,000-74,999",259
Completed,4,"4) $50,000-74,999",542
Current,4,"4) $50,000-74,999",2995
Bad Loan,4,"5) $75,000-99,999",105
Completed,4,"5) $75,000-99,999",282
